iter	RMSE
0	15337.41923
1	14071.12453
2	12956.89879
3	11944.75219
4	11033.60941
5	10222.91495
6	9511.471855
7	8889.314705
8	8326.124278
9	7819.012924
10	7382.123469
11	6987.618529
12	6628.58699
13	6322.994811
14	6054.077522
15	5822.913973
16	5617.065449
17	5432.927243
18	5279.840816
19	5136.786869
20	5016.219315
21	4909.036135
22	4812.858701
23	4728.558534
24	4656.168244
25	4587.925642
26	4530.259404
27	4478.725138
28	4433.896628
29	4394.213336
30	4358.215354
31	4323.088757
32	4289.681334
33	4260.311493
34	4234.562889
35	4209.466494
36	4187.216444
37	4164.024761
38	4141.405238
39	4122.44441
40	4106.42346
41	4090.18546
42	4076.048251
43	4061.258297
44	4047.21095
45	4035.535318
46	4024.786519
47	4010.463253
48	3998.791442
49	3986.388886
50	3973.404553
51	3961.82652
52	3950.784871
53	3940.013506
54	3931.233132
55	3923.838917
56	3912.509533
57	3905.292712
58	3894.401613
59	3883.86301
60	3876.169564
61	3862.82742
62	3853.56596
63	3846.724354
64	3837.715565
65	3829.981017
66	3823.397911
67	3816.856858
68	3808.329314
69	3800.405503
70	3794.443562
71	3788.620374
72	3781.886714
73	3775.679361
74	3768.613726
75	3759.616665
76	3755.312592
77	3750.675752
78	3742.513178
79	3736.343195
80	3727.545973
81	3718.075961
82	3709.728506
83	3706.315696
84	3701.069842
85	3695.026136
86	3688.919718
87	3679.572988
88	3674.470635
89	3669.408898
90	3663.514791
91	3658.663644
92	3655.622705
93	3650.999273
94	3640.606172
95	3635.890881
96	3631.951962
97	3628.06748
98	3622.952542
99	3617.521453
100	3614.340681
101	3608.404945
102	3599.983703
103	3595.212756
104	3591.370576
105	3586.160069
106	3581.061994
107	3575.039138
108	3570.906221
109	3563.636704
110	3555.271658
111	3551.105204
112	3546.302199
113	3542.059092
114	3537.604636
115	3532.958136
116	3525.645643
117	3519.196598
118	3512.897365
119	3509.815093
120	3503.296627
121	3497.509508
122	3493.767881
123	3489.342026
124	3482.25723
125	3477.812128
126	3473.565752
127	3470.419371
128	3466.18347
129	3458.718223
130	3454.161947
131	3449.406736
132	3443.598468
133	3438.281698
134	3435.350496
135	3429.85135
136	3423.556217
137	3415.826855
138	3408.560958
139	3402.463763
140	3398.453433
141	3393.777406
142	3390.242302
143	3387.629493
144	3381.56172
145	3375.170651
146	3371.750523
147	3369.697538
148	3362.786452
149	3356.936806
150	3350.906921
151	3346.745491
152	3342.536125
153	3336.15614
154	3333.16791
155	3329.652733
156	3325.088838
157	3321.682502
158	3318.978343
159	3314.508335
160	3310.78671
161	3306.069745
162	3300.798153
163	3297.292505
164	3294.882009
165	3290.237947
166	3285.768901
167	3282.36381
168	3278.265883
169	3275.272635
170	3269.795403
171	3265.276356
172	3262.094208
173	3256.03055
174	3251.124901
175	3247.046846
176	3242.015559
177	3238.454985
178	3235.876216
179	3232.400242
180	3228.250522
181	3225.718961
182	3222.057102
183	3219.623718
184	3216.226942
185	3212.181388
186	3208.274397
187	3203.838627
188	3199.965565
189	3195.494229
190	3193.588203
191	3188.006704
192	3184.752139
193	3182.490676
194	3179.464687
195	3177.206874
196	3173.12218
197	3167.792171
198	3165.509075
199	3160.168124
